Descr.breve:;;A;
Descr.lunga:;;P.Dante - Osp.S.Chiara - Clarina - P.Dante;
Validità:;;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024;
Orario:;;ORARIO FESTIVO;
Frequenza:;;
Linea:;;
Servizio:;;
gtfs trip_id;;0004008072023091120240611;0004008082023091120240611;0004008092023091120240611;0004008102023091120240611;0004008112023091120240611;0004008122023091120240611;0004008132023091120240611;0004008142023091120240611;0004008152023091120240611;0004008162023091120240611;0004008172023091120240611;0004008182023091120240611;0004008192023091120240611;0004008782023091120240611;
smartplanner route_id;;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;_A;
service_id;;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;0000000052023091120240611;
stops;stop_id;0004008072023091120240611;0004008082023091120240611;0004008092023091120240611;0004008102023091120240611;0004008112023091120240611;0004008122023091120240611;0004008132023091120240611;0004008142023091120240611;0004008152023091120240611;0004008162023091120240611;0004008172023091120240611;0004008182023091120240611;0004008192023091120240611;0004008782023091120240611;
Piazza Dante "Stazione Fs";247;07:31;08:31;09:31;10:31;11:31;12:31;13:31;14:31;15:31;16:31;17:31;18:31;19:31;20:31;
Torre Verde Galasso;443;07:33;08:33;09:33;10:33;11:33;12:33;13:33;14:33;15:33;16:33;17:33;18:33;19:33;20:33;
Castello Buonconsiglio;275;07:35;08:35;09:35;10:35;11:35;12:35;13:35;14:35;15:35;16:35;17:35;18:35;19:35;20:35;
S.Francesco Porta Nuova;410;07:37;08:37;09:37;10:37;11:37;12:37;13:37;14:37;15:37;16:37;17:37;18:37;19:37;20:37;
Piave "Parco S.Chiara";402;07:38;08:38;09:38;10:38;11:38;12:38;13:38;14:38;15:38;16:38;17:38;18:38;19:38;20:38;
Dei Mille "Villa Igea";322;07:40;08:40;09:40;10:40;11:40;12:40;13:40;14:40;15:40;16:40;17:40;18:40;19:40;20:40;
Gorizia Adamello;352;07:42;08:42;09:42;10:42;11:42;12:42;13:42;14:42;15:42;16:42;17:42;18:42;19:42;20:42;
Bolghera "S.Antonio";284;07:43;08:43;09:43;10:43;11:43;12:43;13:43;14:43;15:43;16:43;17:43;18:43;19:43;20:43;
Fogazzaro "Piscina";338;07:44;08:44;09:44;10:44;11:44;12:44;13:44;14:44;15:44;16:44;17:44;18:44;19:44;20:44;
Verona Einaudi;462;07:46;08:46;09:46;10:46;11:46;12:46;13:46;14:46;15:46;16:46;17:46;18:46;19:46;20:46;
Verona "S.Bartolameo";217;07:46;08:46;09:46;10:46;11:46;12:46;13:46;14:46;15:46;16:46;17:46;18:46;19:46;20:46;
Fermi La Clarina;335;07:47;08:47;09:47;10:47;11:47;12:47;13:47;14:47;15:47;16:47;17:47;18:47;19:47;20:47;
Degasperi La Clarina;321;07:48;08:48;09:48;10:48;11:48;12:48;13:48;14:48;15:48;16:48;17:48;18:48;19:48;20:48;
Gandhi "Parco Anna Frank";342;07:49;08:49;09:49;10:49;11:49;12:49;13:49;14:49;15:49;16:49;17:49;18:49;19:49;20:49;
Gramsci "Materna La Clarina";353;07:50;08:50;09:50;10:50;11:50;12:50;13:50;14:50;15:50;16:50;17:50;18:50;19:50;20:50;
Gramsci Einaudi;354;07:51;08:51;09:51;10:51;11:51;12:51;13:51;14:51;15:51;16:51;17:51;18:51;19:51;20:51;
Fogazzaro "Piscina";339;07:53;08:53;09:53;10:53;11:53;12:53;13:53;14:53;15:53;16:53;17:53;18:53;19:53;20:53;
Gocciadoro "Poliambulatori";351;07:54;08:54;09:54;10:54;11:54;12:54;13:54;14:54;15:54;16:54;17:54;18:54;19:54;20:54;
Gocciadoro "Arcate";350;07:55;08:55;09:55;10:55;11:55;12:55;13:55;14:55;15:55;16:55;17:55;18:55;19:55;20:55;
Gerola "Ospedale S.Chiara";344;07:56;08:56;09:56;10:56;11:56;12:56;13:56;14:56;15:56;16:56;17:56;18:56;19:56;20:56;
Pasubio Adamello;400;07:57;08:57;09:57;10:57;11:57;12:57;13:57;14:57;15:57;16:57;17:57;18:57;19:57;20:57;
Piazza Vicenza;168;07:58;08:58;09:58;10:58;11:58;12:58;13:58;14:58;15:58;16:58;17:58;18:58;19:58;20:58;
Giovanelli "Osp. S.Camillo";347;07:59;08:59;09:59;10:59;11:59;12:59;13:59;14:59;15:59;16:59;17:59;18:59;19:59;20:59;
Grazioli Brigata Acqui;355;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;
Sanzio "Castello";276;08:04;09:04;10:04;11:04;12:04;13:04;14:04;15:04;16:04;17:04;18:04;19:04;20:04;21:04;
Romagnosi Vannetti;403;08:06;09:06;10:06;11:06;12:06;13:06;14:06;15:06;16:06;17:06;18:06;19:06;20:06;21:06;
Piazza Dante "Stazione Fs";247;08:07;09:07;10:07;11:07;12:07;13:07;14:07;15:07;16:07;17:07;18:07;19:07;20:07;21:07;
;;;;;;;;;;;;;;;
