Descr.breve:;C
Descr.lunga:;RSA "S.Bart." - "Angeli Custodi" - Laste
Validità:;ORARIO Trento Inverno 2023-24   Valido dal 11/09/2023 al 11/06/2024
Orario:;ORARIO FERIALE
Frequenza:
Linea:;;;;;;;;
Servizio:
"RSA S.Bartolomeo";;09.22;10.32;11.30;14.02;15.12;16.22;17.32
Verona  "Questura";;09.24;10.34;11.32;14.04;15.14;16.24;17.34
Fermi   la Clarina;;09.26;10.36;11.34;14.06;15.16;16.26;17.36
Degasperi  la Clarina;;09.27;10.37;11.35;14.07;15.17;16.27;17.37
Degasperi  Anna Frank;;09.28;10.38;11.36;14.08;15.18;16.28;17.38
S.Pio X  Benevoli;;09.30;10.40;11.38;14.10;15.20;16.30;17.40
S.Pio X  Matteotti;;09.31;10.41;11.39;14.11;15.21;16.31;17.41
Bezzi  Filzi;;09.33;10.43;11.41;14.13;15.23;16.33;17.43
Giusti  "Arcivescovile";;09.34;10.44;11.42;14.14;15.24;16.34;17.44
Rosmini  "Cimitero" / MUSE;;09.35;10.45;11.43;14.15;15.25;16.35;17.45
Rosmini  S.Maria Maggiore;;09.37;10.47;11.45;14.17;15.27;16.37;17.47
Gazzoletti  Piazza Dante;08.30;09.40;10.50;11.48;14.20;15.30;16.40;17.50
"Castello Buonconsiglio";08.32;09.42;10.52;;14.22;15.32;16.42;17.52
Venezia  "Port'Aquila";08.33;09.43;10.53;;14.23;15.33;16.43;17.53
Giardini  Collina;08.34;09.44;10.54;;14.24;15.34;16.44;17.54
"RSA Angeli Custodi";08.36;09.46;10.56;;14.26;15.36;16.46;17.56
Avancini  Laste;08.37;09.47;10.57;;14.27;15.37;16.47;17.57
via delle Laste;08.37;09.47;10.57;;14.27;15.37;16.47;17.57
Piazza Cappuccini;08.38;09.48;10.58;;14.28;15.38;16.48;17.58
Cervara  Cereria;08.38;09.48;10.58;;14.28;15.38;16.48;17.58
"Quattro Strade";08.39;09.49;10.59;;14.29;15.39;16.49;17.59
Muralta  Valsugana;08.40;09.50;11.00;;14.30;15.40;16.50;18.00
SS 47  Muralta;08.41;09.51;11.01;;14.31;15.41;16.51;18.01
Piazza Madonna delle Laste;08.42;09.52;11.02;;14.32;15.42;16.52;18.02
